nom;prenom;email;role
Choat;Jeno;jchoat0@fc2.com;ADMIN
Benne;Gottfried;gbenne1@plala.or.jp;ADMIN
Hug;Dave;dhug2@booking.com;ADMIN
Wharby;Elden;ewharby3@bluehost.com;ADMIN
Coultous;Arley;acoultous4@rediff.com;ADMIN
Bontine;Rodd;rbontine5@unicef.org;ADMIN
McNickle;Damien;dmcnickle6@cdbaby.com;ADMIN
Albon;Brigit;balbon7@wikispaces.com;ADMIN
Weaver;Anestassia;aweaver8@mtv.com;ADMIN
Bartoleyn;Meade;mbartoleyn9@cbsnews.com;ADMIN
Castanaga;Mersey;mcastanagaa@twitter.com;ADMIN
Form;Garfield;gformb@over-blog.com;ADMIN
Petchell;Osmond;opetchellc@unicef.org;ADMIN
Doole;Ossie;odooled@a8.net;ADMIN
Meddings;Emili;emeddingse@a8.net;ADMIN
Eggar;Guillermo;geggarf@shinystat.com;ADMIN
Rubroe;Vanya;vrubroeg@cnet.com;ADMIN
Ramelet;Zorina;zrameleth@engadget.com;ADMIN
Winspare;Eva;ewinsparei@businesswire.com;ADMIN
Louden;Maddy;mloudenj@seesaa.net;ADMIN
